순위,상품번호,도서명,부제목,저자,출판사,출판일,판매가,정가,적립포인트,판매지수,평점,리뷰수
629,193051840,AI와 사회정서학습,,최철웅,커뮤니케이션북스,2026년 07월,12000,12000,0,60,0.0,0
630,193051838,인간지능 : AI의 협업과 소버린 AI,,"이헌구, 이동일",커뮤니케이션북스,2026년 07월,12000,12000,0,60,0.0,0
631,193050142,2026 챗GPT 업무 활용 마스터,,강승우,삼일인포마인,2026년 07월,20000,20000,0,60,0.0,0
632,192978021,AI 에이전트로 만드는 멀티미디어 전자책,전자책 기획-집필-비주얼-오디오-수익화 자동화,황원판,BOOKK(부크크),2026년 06월,34000,34000,0,102,0.0,0
633,192871544,"AI 시대, 방송콘텐츠 교육",,"박민서, 이승현",커뮤니케이션북스,2026년 07월,12000,12000,0,60,0.0,0
634,192735146,우분투 리눅스,실전 예제로 익히는 리눅스 서버 구축과 운영,이종원,한빛아카데미,2026년 06월,35000,35000,0,60,0.0,0
635,192630667,AI도 모르는 글쓰기: 초안을 완성으로 바꾸는 AI 협업 글쓰기,,정나래,한빛미디어,2026년 06월,19800,22000,1100,942,9.9,30
636,192557879,유아 놀이와 AI 교육,,최수연,커뮤니케이션북스,2026년 06월,12000,12000,0,144,0.0,0
637,192498869,목회사역 AI 프롬프트 모음집,,이희준,BOOKK(부크크),2026년 06월,18000,18000,0,162,0.0,0
638,192491769,윈도우 포렌식 수사,,이승무,(주)박영사,2026년 06월,42000,42000,0,522,0.0,0
639,192470749,디지털 혁신을 이끄는 정보화전략계획 (ISP),,이장영,좋은땅,2026년 06월,58500,65000,3250,186,0.0,0
640,192300987,문구의 세계,"기록하는 문구, 100가지의 말","문구 제조사 노우토,  타카기 요시노리 저/고영자 역",영진닷컴,2026년 06월,18000,20000,1000,459,0.0,0
641,192207269,챗GPT와 제미나이 그리고 AI 숏폼 동영상 제작과 활용법의 인공지능 입문 실무 업무 자동화 왕초보 입문 3종 패키지,,액션미디어 편집부,액션미디어,2026년 06월,49800,49800,0,186,0.0,0
642,192123866,공간 컴퓨팅: XR 인터랙션 디자인,공간 인터페이스와 UX 디자인 가이드,박동윤,에이콘출판사,2026년 06월,30600,34000,1700,396,0.0,0
643,192090565,중소기업의 AI 활용 실무,생성형 · 분석형 · 피지컬 AI 적용 사례,배용일,BOOKK(부크크),2026년 06월,24000,24000,0,102,10.0,1
644,192090475,비전공자를 위한 클라우드 컴퓨팅,누구나 이해할 수 있는 클라우드,백지석,BOOKK(부크크),2026년 06월,21000,21000,0,102,0.0,0
645,192021270,디자이너를 위한 AI 디자인 크리에이티브 아트워크,"파이어플라이, 포토샵, 어도비 익스프레스 실무 활용 가이드",정승용,제이펍,2026년 06월,22500,25000,1250,459,10.0,3
646,191937826,스마트폰 완벽 가이드 (2026최신판),스마트폰 활용의 알파와 오메가,최신만,디지털콘텐츠그룹,2026년 06월,18000,20000,1000,312,0.0,0
647,191890613,지방의정 AI로 혁신하라,"AI 시대, 지방의원은 어떻게 일해야 하는가",원성묵,새빛,2026년 06월,18000,20000,1000,873,0.0,0
648,191852992,AX 에이전트 경영,,황영오,미디어북,2026년 05월,24000,24000,0,543,0.0,0
649,191547374,AI와 기독교 교육,,이성아,커뮤니케이션북스,2026년 06월,12000,12000,0,102,0.0,0
650,191543351,AI를 길들이는 법,,장의웅,BOOKK(부크크),2026년 06월,17300,17300,0,72,0.0,0
651,191534262,처음이지만 프로처럼 쓰는 n8n,"텔레그램 알림봇, 슬랙 자동화, Google Sheets 기반 리포트, AI 기반 뉴스 요약 및 이상 탐지 등 실무에서 바로 쓰는 AI 워크플로 실전 예제 수록",곽지호(단테),디지털북스,2026년 06월,29700,33000,1650,240,0.0,0
652,191303626,스마트폰으로 배우는 챗GPT & 생성형 AI,,안은진,아티오,2026년 06월,13500,15000,750,348,0.0,0
653,191021061,여보! 코딩은 바이브야!,,김응,BOOKK(부크크),2026년 06월,19500,19500,0,210,0.0,0
654,190877794,예제가 가득한 챗GPT with 클로드 길라잡이,,이승우,정보문화사,2026년 06월,15120,16800,840,402,9.9,16
655,190446025,얄팍한 AI 지식 쌓기,세상의 모든 AI관련 서적을 요점 정리한 단 한 권의 책,김도균,ADK FIRST,2026년 05월,15120,16800,840,144,9.6,5
656,190365713,청소년을 위한 바로 써먹는 필수 AI 활용법,"제미나이, 노트북LM, 미드저니, 수노 AI, 클로바더빙",김환,알파에듀,2026년 06월,15120,16800,840,1353,10.0,16
657,190278099,초보도 바로 되는 AI 콘텐츠,,"이도혜, 김인호, 문정수, 바울, 육화영 저 외 7명
                                        
정보 더 보기/감추기



이도혜
김인호
문정수
바울
육화영
이성열
이수진
이진영
정지연
노수승
배경수
김진선",미디어북,2026년 05월,20000,20000,0,942,10.0,39
658,190274645,디지털 금융 보안과 데이터 거버넌스,,"이기혁, 장항배",진한엠앤비,2026년 06월,23750,25000,500,72,0.0,0
659,190271690,실전 50개 프로젝트로 배우는 바이브 코딩,,김선철 저/AI 저(AI생성),BOOKK(부크크),2026년 05월,26600,26600,0,156,0.0,0
660,190271633,스마트한 시니어를 위한 엑셀과 파워포인트 흑백판,,차혜원,BOOKK(부크크),2026년 05월,20000,20000,0,330,0.0,0
661,190210830,AI와 과학관,,"손성근, 김민환, 김상우",커뮤니케이션북스,2026년 05월,12000,12000,0,1521,10.0,2
662,189850864,크리에이터 김연지의 돈 되는 AI 콘텐츠 설계,프롬프트로 기획하고 하네스 엔지니어링으로 완성하는 상위 1%의 수익 자동화,김연지,한빛비즈,2026년 05월,18000,20000,1000,1362,10.0,37
663,189821967,AI를 이기는 개발자 커리어 관리 가이드,"이력서, 코딩 테스트, 면접, 연봉 협상에 이르는 개발자 성장 가속 전략",강승현,제이펍,2026년 06월,21600,24000,1200,372,10.0,4
664,189522258,AI로 나만의 3D 애니메이션 만들기,"기획부터 연출, 영상 합성까지 AI로 완성하는 1인 제작 가이드",김희령,로드북,2026년 05월,24300,27000,1350,456,0.0,0
665,189439422,비전공자를 위한 네트워크 기초,,백지석,BOOKK(부크크),2026년 05월,20000,20000,0,72,0.0,0
666,189438793,하나면 다 된다 제미나이,"구글의 일 잘하는 AI 비서 Gems, Veo, Flow, 나노 바나나 2, 노트북LM까지!",앤미디어,성안당,2026년 05월,20700,23000,1150,618,9.6,28
667,189238126,데이터 분석 오답 노트,"빅쿼리, 파이썬, 스프레드시트, 루커 스튜디오로 비즈니스 이해부터 문제 정의, 결과 전달까지","주정민, 허현",영진닷컴,2026년 05월,22500,25000,1250,258,9.9,24
668,189212974,나는 왜 개발자 말이 어려울까?,외계어 같은 개발 용어 사이에서 살아남기 위한 생존 소통 가이드,이프로,경이로움,2026년 05월,19800,22000,1100,498,10.0,2
669,189045142,매출을 만드는 데이터 분석 with 챗GPT,복잡한 코딩 없이 AI와 함께하는 실전 데이터 분석,조선미,길벗,2026년 05월,28800,32000,1600,324,9.3,3
670,189007418,"AI, 글쓰기, 저작권","생성형 인공지능 시대, 창작은 어떻게 바뀌는가",정지우,마름모,2026년 05월,10800,12000,600,681,8.0,2
671,188906223,코어 스테이블코인,PayFi와 AI가 바꾸는 부의 지도,"박재현, 박지수",한빛미디어,2026년 05월,21600,24000,1200,780,10.0,6
672,188880177,LangGraph로 만드는 AI 에이전트 서비스,RAG.멀티 에이전트.평가까지 AI 에이전트 실무 완전 정복,"전상우, 정영훈, 서평원, 이정훈, 이민혁",성안당,2026년 05월,26100,29000,1450,678,9.8,9
673,188831261,AI디톡스,,정강재,BOOKK(부크크),2026년 04월,21600,21600,0,144,0.0,0
674,188601208,내 손안에 일상이 되는 ChatGPT&Gemini,단계별 스크린샷 실습 가이드 수록/일상에 바로 써먹는 실전 예제 수록/계정부터 이미지 생성까지 전 과정 해결,"김아진, 윤이음",예문랩,2026년 05월,13500,15000,750,210,0.0,0
675,188270269,그림으로 배우는 리눅스,,카와노 고토부키 저/김성훈 역,영진닷컴,2026년 05월,18000,20000,1000,270,0.0,0
676,188253761,클린 아키텍처 with 파이썬,"유지보수 쉽고, 테스트 가능하며, 확장 가능한 구조로 전환하는 실전 설계 전략",샘 킨 저/송영숙 역,한빛미디어,2026년 04월,29700,33000,1650,240,9.8,8
677,187927604,AI와 청소년 윤리 교육,,고정아,커뮤니케이션북스,2026년 04월,12000,12000,0,162,0.0,0
678,187593533,Access(액세스) VBA 길잡이,,김중광,다솜출판사,2024년 04월,26100,29000,1450,84,0.0,0
679,187309716,STATA를 활용한 정책평가,,"우석진, 김도형",지필출판사(지필미디어),2026년 04월,34000,34000,0,222,0.0,0
680,187307360,다시 찾는 디지털 서비스를 만드는 8가지 법칙,사용자 경험으로 매출을 높이는 실전 UX/UI 전략,권혜민,제이펍,2026년 04월,18000,20000,1000,324,9.9,19
681,187050404,피지컬 AI와 에이전틱 AI가 바꾸는 미래,AI가 몸을 갖는 순간,"권오형, 최재용, 김보성, 김은희, 김재연 저 외 6명
                                        
정보 더 보기/감추기



권오형
최재용
김보성
김은희
김재연
나병인
유채린
임기정
차승희
최소은
김진선",미디어북,2026년 04월,20000,20000,0,1002,10.0,19
682,186936120,바이브 코딩 항해일지,AI와 함께 완성하는 30일간의 코딩 프로젝트,동준상,에이콘출판사,2026년 04월,25200,28000,1400,342,10.0,2
683,186686870,7일 단기 완성 해킹 입문,TryHackMe로 즐기듯 배우는 합법적인 해킹 7일 실습 코스,"노미조 노미조, 심중은",제이펍,2026년 04월,25200,28000,1400,561,10.0,1
684,186675967,제미나이(Gemini) 재미나게 활용하기,,"강신진, 서완석, 오정택",BOOKK(부크크),2026년 04월,18300,18300,0,492,0.0,0
685,186141317,"AI시대, 스토리텔링의 재탄생","호모 프롬프트의 시대, 스토리텔링의 문법이 바뀐다!",김태원,파람북,2026년 04월,17100,19000,950,960,10.0,3
686,185767661,코지마 히데오의 게임론,"<메탈기어>부터 <데스 스트랜딩>까지, 게임의 혁신성으로 세계를 열광시킨 크리에이터",브라이언 히카리 하츠하임 저/문성호 역,AK(에이케이 커뮤니케이션즈),2026년 04월,20710,21800,650,300,9.8,9
687,185721925,"그냥 따라하다 배우는, 나노바나나 100선",,이재용,비엘북스,2026년 04월,19800,22000,1100,948,0.0,0
688,185639310,혼자 해도 프로 선생님처럼 잘 만드는 학교 수업 자료 with 미리캔버스,요즘 선생님들의 시간을 아껴주는 현직 교사 3인의 에듀테크 수업의 모든 것,"김태훈, 손민지, 유수근",한빛미디어,2026년 04월,20700,23000,1150,678,10.0,69
689,185523191,프롬프트 지옥에서 탈출하는 Claude Code 개발 자동화 시스템,,"박현일, 조용현",BOOKK(부크크),2026년 03월,37000,37000,0,198,2.0,1
690,185472118,콘텐츠 디자인 with 나노 바나나,"사진 보정, 썸네일, 캐릭터 디자인, 상세 페이지, 홍보 포스터, 웹툰, 이모티콘, 굿즈까지 누구나 디자인 가능한 나노 바나나 완벽 가이드",홍순성,한빛미디어,2026년 04월,25200,28000,1400,630,9.8,13
691,184642019,입상 교사만 아는 아무도 말해주지 않은 디지털교육연구대회 1등급의 비밀,"연구 트렌드 분석, 1등급 받는 보고서 작성 실제, 디자인 작업 방법, 최종 심사 완벽대비, 입상 꿀팁 전수",강인성,앤써북,2026년 04월,15120,16800,840,660,10.0,15
