순위,상품번호,도서명,부제목,저자,출판사,출판일,판매가,정가,적립포인트,판매지수,평점,리뷰수
181,116962528,세계관을 창조하는 판타지 배색 아이디어 사전,,사쿠라이 테루코 저/하시 카츠카메 그림/허영은 역,한스미디어,2023년 01월,5625,6250,310,1128,10.0,4
182,91165789,비전공자를 위한 이해할 수 있는 IT 지식,IT시대의 필수 교양서,최원영,티더블유아이지,2020년 07월,15120,16800,840,5316,8.8,138
183,37335066,라프 코스터의 재미이론 10주년 개정판,재미와 게임의 가치를 통찰하는 전 세계 게임 개발자의 필독서!,"라프 코스터 저/유창석, 전유택 역",길벗,2017년 03월,19800,22000,1100,4113,8.2,17
184,35094862,Do it! C 언어 입문,,김성엽,이지스퍼블리싱,2017년 01월,22500,25000,1250,1938,9.4,75
185,190272428,라즈베리파이 5로 배우는 AI 인공지능 자율주행 자동차 만들기 + 데이터 수집 · 학습 + 딥러닝,"데이터 획득, 모델 생성, 모델 적용 후 자율주행",장문철,앤써북,2026년 06월,21960,24400,1220,600,10.0,1
186,193583379,초간단 캡컷 AI 영상 편집,초보자도 간단히 단박에 끝내는 AI 영상 편집,이용태,책바세,2026년 08월,19800,22000,1100,240,0.0,0
187,193058538,심플 디자인,객관적으로 바라보는 코드 품질,박영록,위키북스,2026년 07월,16200,18000,900,366,0.0,0
188,192326062,한눈에 보는 대한민국 코스피,"I 반도체부터 K-방산·조선·엔터까지, 코스피 1만 시대를 선점하는 투자 내비게이션",MrTrigger,한빛미디어,2026년 06월,23400,26000,1300,1038,10.0,54
189,192285191,혼자 완성하는 Java 풀코스,실전 프로그래밍 기초부터 완성까지,심상원,아이콕스(iCox),2026년 07월,30600,34000,1700,342,0.0,0
190,192155530,다름을 연결하는 교실 설계자가 되기 위한 필수 실천서! AI 에듀테크로 다문화 수업 쉽게 설계하기!,"수노AI, 스케치북, 캔바, 젭퀴즈, 패들렛, 바이브코딩, 김킷, 노트북 LM, 투닝, 러버블, 노션, 크랙, 북 크리에이터, 퀴즐렛","유영미, 유예찬, 이근경, 이효진, 정홍교 저 외 10명
                                        
정보 더 보기/감추기



유영미
유예찬
이근경
이효진
정홍교
박천용
김승환
송지영
김민주
양은숙
손지후
강동호
김가람
오지현
오가람",광문각출판미디어,2026년 06월,20000,20000,0,3000,10.0,32
191,192026072,셀프프롬프트,,전행진,퍼블리터,2026년 06월,16650,18500,920,1317,0.0,0
192,190216116,"캔바로 만든 디자인, 돈이 됩니다","기획 및 포트폴리오부터 템플릿, 콘텐츠 판매까지 캔바 앰배서더 리몬이 알려주는",리몬(안형선),길벗,2026년 06월,19800,22000,1100,3012,10.0,44
193,189854100,AI가 다 하고 내가 돈 버는 앱 만들기,"AI로 기획, 개발, 배포까지 스토어에서 1위하는 나만의 앱 만들기!",서희찬,길벗,2026년 05월,25200,28000,1400,1812,9.2,5
194,189749546,AI 게임 개발 시작,누구나 게임을 만든다 (왕초보편),김정태,홍릉,2026년 05월,25000,25000,0,948,10.0,4
195,189628201,AI 바이브 코딩 마스터,Lovable로 만드는 5가지 프로젝트,"정의석, 정윤식",영진닷컴,2026년 05월,32400,36000,1800,624,10.0,23
196,189037004,클로드 디자인 시작하기,퇴근은 내가! 야근은 AI가!,조남경,비엘북스,2026년 05월,22500,25000,1250,3408,0.0,0
197,188108093,맛있는 디자인 포토샵 CC 2026,"나노바나나, 파이어플라이 AI로 쉽게 만들고 포토샵으로 완성하는 디자인 기본서",윤이사라,한빛미디어,2026년 04월,23400,26000,1300,2583,9.9,41
198,188012932,된다! 하루 만에 준비하는 캔바 AI 수업 활용법 with 2022 개정 교육과정,,"정인걸, 김경수",이지스퍼블리싱,2026년 05월,21600,24000,1200,1233,10.0,8
199,187519430,에이전트 시대의 AI 시스템 설계,"RAG, 최적화, 가드레일로 완성하는 32가지 프로덕션 패턴","발리아파 락슈마난, 하네스 막스 하프케 저/류광 역",한빛미디어,2026년 04월,37800,42000,2100,2349,9.7,12
200,187222189,하이러닝으로 끝내는 AI 디지털 수업 50제,경기도 현직 교사를 위한 하이러닝 실전 활용 가이드,"유지현, 조윤호, 고윤경, 진연자, 곽지현 저 외 7명
                                        
정보 더 보기/감추기



유지현
조윤호
고윤경
진연자
곽지현
최혜진
최정은
조희정
조연영
이성찬
허윤영
정승연",한빛미디어,2026년 04월,21600,24000,1200,2679,10.0,101
201,186939301,바이브 코딩 with 구글 안티그래비티,코드 한 줄 몰라도 내 손으로 만드는 12가지 웹/앱 서비스,노성환,영진닷컴,2026년 04월,16200,18000,900,960,9.8,34
202,186663875,그림으로 배우는 생성형 AI,생성형 AI의 구조와 동작 방식 이해부터 애플리케이션 설계와 에이전트까지,"프리양카 베르가디아, 발리아파 락슈마난 저/류광 역",한빛미디어,2026년 04월,29700,33000,1650,1470,9.6,9
203,182628538,새나곰의 똥손도 바로 시작하는 인스타툰 그리기 with 클립 스튜디오,인스타툰 채널을 키우고 수익화하는 실전 노하우부터 완성이 빨라지는 클립 스튜디오 활용 꿀팁까지!,새나곰(정은아),한빛미디어,2026년 03월,20700,23000,1150,1914,10.0,18
204,180209658,캔바 AI,매일매일 쓰는 모두의 AI,"신승희, 앤미디어",생능북스,2026년 03월,21600,24000,240,3387,9.9,61
205,179710994,엑셀 대신 챗GPT,함수 대신 프롬프트! 바이브 엑셀로 일하는 법,오종현,한빛미디어,2026년 03월,19800,22000,1100,1146,9.8,19
206,174658020,요즘 바이브 코딩 안티그래비티 완벽 가이드,"구글 AI, 제미나이, 스티치, 프롬프트 엔지니어링, 인공지능 에이전트, RAG, 프론트엔드, PRD, TDD, 클린 아키텍처, 리팩터링, 챗봇, 블로그, 랜딩 페이지 더 빠르고 더 견고한 프로그램을 만드는 원리와 방법",최지호,골든래빗,2026년 02월,25200,28000,1400,17922,9.8,28
207,173657299,초등학생을 위한 AI 미래 지식 74,,김영현 글/최정을 그림,길벗스쿨,2026년 01월,15300,17000,510,2289,9.9,29
208,168840773,수노로 시작하는 AI 작곡,"10분이면 완성하는 배경음악, 대중음악, 동요 제작 가이드","강성우, 한나래",제이펍,2025년 12월,18000,20000,1000,4542,8.8,23
209,168561327,"어쨌든, 바이브 코딩",코딩을 몰라도 50개 앱과 웹사이트를 AI와 LLM을 활용해서 개발한다,코다프레스 저/양희은 역,인사이트(insight),2025년 12월,19800,22000,1100,3846,9.9,45
210,167431026,소프트웨어 아키텍처 The Basics,모던 엔지니어링을 위한 소프트웨어 아키텍처의 모든 것,"마크 리처즈, 닐 포드 저/류광, 307번역랩 역",한빛미디어,2025년 11월,38700,43000,2150,2028,9.9,15
211,167428992,요즘 바이브 코딩 깃허브 코파일럿 31가지 프로그램 만들기,"인공지능 코딩, AI 포트폴리오, 바탕화면 정리 앱, PDF 편집기, 이메일 자동화, 주식 크롤링, QR 코드 생성기, 노션 스타일 게시판, 대시보드 만들기, 블로그 만들기",박현규,골든래빗,2025년 12월,21600,24000,1200,2817,10.0,4
212,167144757,연필과 종이로 풀어보는 AI 딥러닝 수학 워크북 214제,코딩 없이 마스터하는 AI 수학,톰 예,아티오,2025년 12월,17100,19000,950,1512,6.0,1
213,166665802,그림으로 이해하는 도커와 쿠버네티스,"도커와 쿠버네티스, 쉽고 재미있게 시작하자!",토쿠나가 코헤이 저/서수환 역,길벗,2025년 11월,19800,22000,1100,3282,10.0,17
214,163495217,학교 업무가 쉬워지는 구글 스프레드시트 실전 가이드북,“칼퇴하는 옆반 선생님의 비밀!”,"김동호, 민동수, 박준택, 오보람, 윤수진 저 외 1명
                                        
정보 더 보기/감추기



김동호
민동수
박준택
오보람
윤수진
나혜진",씨마스21,2026년 01월,19800,22000,1100,7176,10.0,33
215,160217631,써니쌤과 함께 처음 시작하는 SNS 디자인 캔바,,써니쌤 강성은,시원북스,2025년 10월,17820,19800,990,9282,10.0,273
216,153913285,"챗GPT는 거들 뿐, 생기부는 내가 쓴다",생기부 작성을 위한 GPT-5 사전 학습과 프롬프트 활용 노하우,"장승아, 조원정",위키북스,2025년 09월,14400,16000,800,2556,0.0,0
217,152399336,기술·가정 교사가 만든 기술·가정 교사를 위한 찐 실전 챗GPT (생성형 AI (에듀테크) 기술·가정 수업 활용하기!),캔바·미리캔버스·감마·패들렛·코파일럿·뤼튼·챗GPT·클리포·AI 마음일기·코스페이시스·틴커캐드·창업 프로젝트·주택 만들기 프로젝트·책임소비봇 프로젝트·AI 미디어 크래프트 프로젝트,"봉우리, 이호준, 윤지원, 김보정",광문각출판미디어,2025년 08월,17000,17000,0,2877,10.0,11
218,148082413,나는 CODAP으로 데이터 분석한다,CODAP으로 배우는 데이터 분석의 정석!,"최정원, 류현욱, 박근영, 박예람, 유동호 저 외 6명
                                        
정보 더 보기/감추기



최정원
류현욱
박근영
박예람
유동호
유하연
이완범
이원경
이지현
최희진
허영주",씨마스,2025년 06월,22500,25000,1250,4332,10.0,53
219,147561155,회사에서 바로 통하는 실무 엑셀,모든 버전 사용 가능,한은숙,한빛미디어,2025년 06월,20700,23000,1150,4428,9.8,34
220,147103661,처음이야? 파이썬 기초,동영상 강의로 배우는 292개 코드 따라하기(핵심노트+오픈채팅+스터디),"윤영빈, 오환, 이용희",영진닷컴,2025년 06월,18000,20000,1000,2448,10.0,9
221,147034290,2022 개정과 IB 교육 철학을 적용한 초등 개념기반 탐구수업•서술형평가 설계와 실천,"깊이있는 학생주도 수학탐구수업, 핵심아이디어 연계 핵심전이과제, 수학 서술형평가 체계적 접근, 다했니? AI 쫑알이 활용",진경오,앤써북,2025년 05월,18900,21000,1050,3306,9.8,12
222,145383562,현직 교사가 만든 업무자동화를 원하는 교사를 위한 찐 실전 챗GPT GPTs·미조우·제미나이 - 챗봇 만들기 생성형 AI 챗봇으로 수업 업무 박살 내기!,"탐구 질문 생성, 생활기록부 작성(행발, 교과 세특), 갈등 해결 챌린지, 학생 질문 평가, 진로 연계 학생 활동, 학급 경영(좌석 배치)","김요섭, 허영주, 조래정, 정재우",광문각출판미디어,2025년 04월,15000,15000,0,2772,9.9,35
223,145015291,M365 코파일럿 무작정 따라하기,일잘러를 위한 최고의 업무 파트너,"김시연, 서지영",길벗,2025년 04월,19800,22000,1100,3354,9.4,7
224,144073133,공여사들의 엑셀 혁명 with 챗GPT,암기 NO! 복잡 NO! 압도적 실용성 YES! 실무 엑셀 기본기+챗GPT 활용법,공여사들,한빛미디어,2025년 03월,18900,21000,1050,3180,9.8,42
225,143786416,교사를 위한 패들렛 Padlet,기초부터 심화까지/학생참여형수업/샌드박스/패들렛AI/템플릿 및 기능별 수업 활용 사례,안익재,앤써북,2025년 03월,15120,16800,840,11442,10.0,47
226,141746357,도덕적인 AI,"딥페이크부터 로봇 의사까지, 인공지능 윤리를 위한 일곱 가지 물음","월터 시넛 암스트롱, 재나 셰익 보그, 빈센트 코니처 저/박초월 역",김영사,2025년 01월,19800,22000,1100,4794,9.8,13
227,135818136,머신비전 비밀노트,좌충우돌 신입사원 애니의 머신비전 회사 입사 스토리,㈜앤비젼,바른북스,2024년 10월,21600,24000,1200,1296,0.0,0
228,132412221,NEW 우당탕탕 한글 2020/2022로 문서만들기,,교재개발팀,마린북스,2024년 08월,12600,14000,700,2616,10.0,1
229,130156635,AI를 위한 필수 수학,"AI 시스템에 쓰이는 통계학, 선형 대수학, 미적분학",할라 넬슨 저/안민재 역,한빛미디어,2024년 08월,40500,45000,2250,2514,9.5,12
230,130156178,"2022 개정 교육과정 평가, AI로 날개를 달다 (개념기반 교육과정)","백워드 설계, 루브릭, 성장중심평가, AI코스웨어, 사회정서학습, IB교육, 평가와 피드백 지원 플랫폼","지미정, 오한나, 노명호, 권의선, 김영수 저 외 4명
                                        
정보 더 보기/감추기



지미정
오한나
노명호
권의선
김영수
이진원
장희영
소민영
조보현",앤써북,2024년 09월,18900,21000,1050,10221,9.9,19
231,130093155,Do it! 5일 만에 끝내는 깃&깃허브 입문,,"고경희, 이고잉",이지스퍼블리싱,2024년 08월,16200,18000,900,1962,9.9,27
232,129081594,LLM을 활용한 실전 AI 애플리케이션 개발,"LLM의 기본부터 모델 학습, 임베딩, 벡터 데이터베이스로 만드는 RAG까지",허정준 저/정진호 그림/박재호 감수,책만,2024년 07월,28800,32000,1600,4038,9.3,31
233,126037720,마인크래프트 몹 완벽 가이드,,Mojang Studio 저/이주안 역,영진닷컴,2024년 04월,16200,18000,900,4485,9.6,24
234,125692722,된다! 김메주의 유튜브 채널&영상 만들기,10만 조회수를 만드는 영상·쇼츠의 비밀,김혜주,이지스퍼블리싱,2024년 04월,17100,19000,950,7716,9.7,33
235,125101417,마인크래프트 미니게임 만들기,레드스톤&커맨드 블록으로 시작하는 게임 코딩,우마공 운영진,영진닷컴,2024년 02월,15120,16800,840,2478,9.9,32
236,122598455,된다! 7일 실무 한글,"기초부터 스타일, 메일 머지까지!",한정희,이지스퍼블리싱,2023년 10월,16200,18000,900,4506,9.8,46
237,120241473,그림으로 이해하는 네트워크 구조와 기술,"네트워크, 쉽고 재미있게 시작하자!",나카오 신지 저/김성훈 역,길벗,2023년 07월,19800,22000,1100,2250,9.6,17
238,119409915,프로덕트 매니지먼트,프로덕트를 이해하는 자가 프로덕트를 지배한다,김영욱,한빛미디어,2023년 06월,20700,23000,1150,900,9.8,52
239,116431437,포켓몬스터 레츠고! 피카츄ㆍ레츠고! 이브이 속성클리어모험가이드,,편집부,학산문화사(단행본),2022년 11월,10800,12000,600,510,10.0,3
240,107077663,실용주의 프로그래머,,"데이비드 토머스, 앤드류 헌트 저/정지용 역/김창준 감수",인사이트(insight),2022년 02월,29700,33000,1650,2430,9.2,12
241,103415627,Real MySQL 8.0 (1권),개발자와 DBA를 위한 MySQL 실전 가이드,"백은빈, 이성욱",위키북스,2021년 09월,27000,30000,1500,3132,9.9,15
242,67350256,함께 자라기,애자일로 가는 길,김창준,인사이트(insight),2018년 11월,11700,13000,650,2538,9.3,61
243,66531799,모두의 파이썬,20일 만에 배우는 프로그래밍 기초,이승찬,길벗,2018년 10월,10800,12000,600,2688,9.7,50
244,61254539,친절한 SQL 튜닝,개발자를 위한 SQL 튜닝 입문서 / SQLP 핵심이론 집중 공략,조시형,디비안(DBian),2018년 06월,34200,38000,0,5793,9.6,31
245,59580711,도널드 노먼의 디자인 심리학,UX와 HCI를 위한 인지과학 교과서,도널드 노먼 저/범어디자인연구소 역,유엑스리뷰,2018년 04월,31500,35000,1750,1320,9.7,16
246,191193818,Do it! 오토캐드 2027 + AI,"건축, 인테리어, 기계 실무에 최적화된 입문서",박한울,이지스퍼블리싱,2026년 06월,27900,31000,1550,852,10.0,10
247,189335830,게임으로 철학하기,"재미, 예술성, 장르 등 비디오 게임을 둘러싼 수많은 질문들",주자안 저/정세경 역,현암사,2026년 05월,20700,23000,1150,534,10.0,8
248,160153189,일 잘하는 직장인,일도 커리어도 놓치지 않는 당신을 위한 성장 가이드,"일머리스쿨 (송경이,  유진희)",이지스퍼블리싱,2025년 11월,16200,18000,900,1308,9.9,19
249,147735087,생성형 AI를 위한 프롬프트 엔지니어링,"랭체인, 스테이블 디퓨전, 미드저니, 챗GPT를 다루는 가장 실용적인 방법","제임스 피닉스, 마이크 테일러 저/정의형, 정한결 역",한빛미디어,2025년 06월,34200,38000,1900,5712,10.0,9
250,193448340,AI와 라이프 아크,,노유진,커뮤니케이션북스,2026년 07월,12000,12000,0,330,0.0,0
251,193350963,"그로스 IQ, 비즈니스 성장 바이블","넷플릭스부터 아마존까지, 30개 글로벌 기업의 성패를 가른 '성장 지능'의 비밀, Growth IQ",티파니 보바 저/고현석 역,골든래빗,2026년 07월,25200,28000,1400,180,10.0,1
252,193183459,생성형 AI로 완성하는 회계 · 세무실무,,박현준,도서출판배움,2026년 04월,10800,12000,600,120,0.0,0
253,192731324,AWS 교과서,,"서종호, 김원일, 김석필",길벗,2026년 07월,34200,38000,1900,516,10.0,2
254,192687429,내 AI 천재로 키우는 법 1,요구 방법부터 공부-수행 평가-자서전 쓰기 적용까지,이태종,이태종NIE논술연구소,2026년 07월,22500,25000,1250,750,10.0,3
255,192579676,AI를 활용한 실내디자인 프레젠테이션 스킬,,박남용,피앤피북,2026년 07월,20700,23000,1150,630,0.0,0
256,192302542,회사에서 바로 통하는 오토캐드 AutoCAD 2027,건축·인테리어·기계 실무 도면 기본기 완성 | AI 기능+핵심 기능 영상 강의 제공,심미현,한빛미디어,2026년 06월,26100,29000,1450,390,10.0,2
257,192139754,프롬프트 해부학,"AI 시대, 기술 너머의 나를 발견하는 법",박민지,루비페이퍼,2026년 06월,25200,28000,1400,999,10.0,4
258,191852111,준비 끝 다음 수업 AI 에듀테크,"초기 세팅, 핵심 기능, 수업과 학급 운영까지, 샘솟는 아이디어 교실",노희경,비제이퍼블릭(BJ퍼블릭),2026년 06월,24750,27500,1370,999,10.0,3
259,190213684,이것이 멀티 에이전트다,"싱글 에이전트부터 멀티 에이전트까지, MCP와 A2A로 구현하는 에이전트 시스템 개발 | Cursor 최신 버전 반영, 9가지 실습 프로젝트 수록",서지영,한빛미디어,2026년 06월,31500,35000,1750,678,9.4,10
260,189823964,유튜브 AI 비서 고용하기 제미나이 X 노트북LM X 구글 스프레드시트,나만의 ‘슈퍼유튜브시트’ 만들고 데이터로 내 채널 떡상시키기,조현정,골든래빗,2026년 06월,21600,24000,1200,1584,10.0,1
261,189759363,트랜스포머 아키텍처로 배우는 AI 에이전트 with 랭체인 & 랭그래프,"RAG부터 파인튜닝, 양자화, MCP까지",장철원,한빛미디어,2026년 05월,35100,39000,1950,654,9.3,3
262,189353153,코딩 자율학습 FastAPI 파이썬 백엔드 개발 입문,따라 하면서 배우는 친절한 파이썬 웹 개발,신동현,길벗,2026년 05월,25200,28000,1400,774,0.0,0
263,189287920,프로덕트 디자이너로 살아남기,"인공지능의 시대, 디자이너의 일",강영화,이오스튜디오,2026년 05월,17100,19000,950,1638,10.0,2
264,188600611,이게 되네? 나노바나나 2 AI 비포&애프터 미친 활용법 82제,"포토샵 없이 제미나이로 5초 컷! 프리픽, 씨드림, 미드저니까지 나만의 AI 사진관 한 권으로 끝내기",쌩초,골든래빗,2026년 05월,21600,24000,1200,2238,10.0,97
265,188189600,중국 휴머노이드 로봇,산업의 발전상과 피지컬 AI 산업 전략,김종문,다빈치books,2026년 05월,19800,22000,1100,870,10.0,7
266,188188392,기계가 언어를 사용한다는 것에 대한 인문학적 사유,LLM 인공지능이 생성하는 글과 말을 어떻게 바라볼 것인가,"마크 코켈버그, 데이비드 J.건컬 저/신동숙 역/손화철 감수",생각이음,2026년 04월,17100,19000,950,2925,10.0,2
267,187572169,LangChain과 LangGraph로 만드는 LLM 애플리케이션 2/e,고급 에이전트와 프로덕션 수준의 앱 개발을 위한 올인원 가이드,"벤 아우파스, 레오니드 쿨리긴 저/옥경석, 박규성 역",에이콘출판사,2026년 04월,36000,40000,2000,810,10.0,5
268,186524949,된다! AI 디자인 2026,나노 바나나 + 미드저니 + 포토샵 AI,김희재,이지스퍼블리싱,2026년 04월,26820,29800,1490,1653,10.0,11
269,184675866,딸깍! 바이브 코딩 by 안티그래비티,5분 만에 만드는 업무용 웹 애플리케이션! 45가지 속성 레시피,반병현,생능북스,2026년 04월,22500,25000,250,3378,9.8,30
270,184478218,AI로 만드는 노래와 뮤직비디오,"챗GPT, 수노 작사·작곡 & 블로 영상 제작",전진규,시대인,2026년 04월,12600,14000,700,414,9.8,13
271,183708092,돈이 들어오는 무재고 위탁판매 쇼핑몰,도매매&스마트스토어&쿠팡으로 운영하는 무재고 위탁판매 가이드,전진수,혜지원,2026년 03월,15300,17000,850,1398,10.0,6
272,183572891,AI 시대 엄마가 먼저 알아야 할 최상위 공부법,2032~2033 AI가 채점하는 서·논술형 입시가 온다,"오주연, 김지예, 김현아",한빛비즈,2026년 03월,19800,22000,1100,1236,10.0,16
273,182995232,AI 자율학습 제미나이로 일 잘하는 법,"기획, 마케팅, 디자인, 영업/CS, 인사/교육 직무별 활용 사례, 나노 바나나, 비오, 리리아, 딥 리서치, 캔버스, Gems, NotebookLM, Flow, 구글 AI 스튜디오를 한 권에!",성구(강성규),길벗,2026년 04월,23400,26000,1300,3048,9.8,44
274,182629754,일머리를 설계하는 AI 워크플로 with n8n,"일정 관리, 메일 발송, 자기계발까지 생산성을 폭발시키는 상위 1% 직장인의 남다른 n8n 업무 자동화",이왕석,한빛미디어,2026년 03월,25200,28000,1400,1644,10.0,111
275,181117854,된다! AI 상위 노출,"챗GPT, 제미나이, 네이버에 내 콘텐츠가 1순위로 선택된다! 국내 최초 AIEO 실무서",이중대,이지스퍼블리싱,2026년 03월,17100,19000,950,4311,10.0,28
276,180954314,변화를 기회로 만드는 AI력,생각을 키워 성과를 이끄는 인공지능 실전 활용법,정규진,민음인,2026년 03월,20700,23000,1150,1764,10.0,15
277,177894447,누구나 아는 나만 모르는 챗GPT(개정판) : 세상에서 가장 쉬운 챗GPT & AI 입문서,"ChatGPT, 챗GPT-이미지, 제미나이, 나노바나나 프로, 노트북LM, Sora 2, Suno, 감마, 냅킨",이성원,한빛미디어,2026년 02월,17100,19000,950,4386,9.6,33
278,177866994,에지 컴퓨팅과 피지컬 AI를 위한 라즈베리파이 5,,허경용,제이펍,2026년 02월,27000,30000,1500,864,0.0,0
279,177187498,AI 게임 개발 with 코덱스,"혼자서도 프로처럼 AI 팀원과 캐릭터 제작부터 음원, 코딩, 배포, 수익화까지",정윤지(유리링),한빛미디어,2026년 02월,28800,32000,1600,2580,9.4,25
280,177123635,대체불가능,"인공지능 시대, 기계가 넘볼 수 없는 독보적 인간이 되는 법",파스칼 보넷 저/김정민 역,제이펍,2026년 02월,19800,22000,1100,1065,10.0,11
281,176913080,한 권으로 끝내는 실전 LLM 파인튜닝,GPT 원리부터 Gemma 2 · Llama 3 · Whisper · Qwen2-VL 파인튜닝 및 vLLM 서빙까지,강다솔,위키북스,2026년 02월,28800,32000,1600,1314,10.0,1
282,172517063,누구나 아는 나만 모르는 제미나이,"세상에서 가장 쉬운 제미나이 & AI 입문서 | Gemini, 구글 워크스페이스, Gems, 노트북LM, 나노바나나 프로, 구글 AI 스튜디오, Veo 3.1, 믹스보드",이성원,한빛미디어,2026년 01월,17100,19000,950,13692,9.4,44
283,169704757,직장인을 위한 AI 실무 엑셀,[최신개정] AI로 실무 완벽 대응! 실전! 비즈니스 엑셀 완전 정복,선양미,길벗,2025년 12월,22500,25000,1250,3696,10.0,43
284,168727208,올라마와 오픈소스 LLM을 활용한 AI 에이전트 개발 입문,로컬 LLM을 활용한 보안과 비용 걱정 없는 지능형 AI 에이전트 구축,"서영배, 김병규, 임재봉",위키북스,2026년 01월,25200,28000,1400,2166,3.0,2
285,167476779,대한민국 교육 르네상스 : 대전환시대 교육의 본질을 탐하다,OECD 교수·학습 나침반 / 교사정체성 / 비효율의 숙달 / 성찰적 실천 / 공동주도성 / IB교육 / 생성형AI / 사회정서학습(SEL),"지미정, 김진관, 윤신영, 박미지, 윤여옥 저 외 10명
                                        
정보 더 보기/감추기



지미정
김진관
윤신영
박미지
윤여옥
김희수
박선정
강원빈
이대형
서지나
서동욱
하나
남궁정
임보라
김하연",앤써북,2026년 01월,18000,20000,1000,2688,9.9,25
286,167465671,AI 버블이 온다,우리는 진짜 인공지능을 보고 있는가?,"아르빈드 나라야난, 사야시 카푸르 저/강미경 역",윌북(willbook),2025년 12월,22320,24800,1240,9336,9.8,49
287,167463337,그로스 해킹 (10주년 기념 증보판),데이터로 증명하는 성장의 공식,라이언 홀리데이 저/고영혁 역,길벗,2025년 11월,19800,22000,1100,3291,9.7,20
288,162322988,챗GPT·퍼플렉시티·클로드·코파일럿·제미나이 다 잘함,97가지 활용 사례로 배우는 최강 AI 5대장 완전정복,이호정,리코멘드,2025년 11월,25200,28000,1400,8292,9.6,5
289,153290513,이공계생을 위한 파이썬 필수예제 2,챗GPT와 구글 코랩으로 배우는 응용수학·과학 실험,윤성호,지오북스,2025년 10월,25000,25000,0,1200,0.0,0
290,153029475,요즘 바이브 코딩 커서 AI 30가지 프로그램 만들기,"인공지능 코딩, 랜딩 페이지, 바탕화면 정리 앱, PDF 편집기, 이메일 자동화, 주식 크롤링, QR 코드 생성기, GPT 블로그 생성기",박현규,골든래빗,2025년 09월,21600,24000,1200,14964,9.9,85
291,149414736,AI 에이전트 생태계,프레임워크와 프로토콜로 여는 새로운 패러다임,조쉬,로드북,2025년 08월,24300,27000,1350,17544,9.7,15
292,149370133,회사에서 바로 통하는 실무 엑셀 데이터 활용+분석,"챗GPT 활용법 수록, 모든 버전 사용 가능","김경자, 송선영",한빛미디어,2025년 07월,23400,26000,1300,1956,9.9,27
293,149190058,디자인 트렌드 아카이브 포토샵 & 일러스트레이터,트렌디한 효과부터 최신 AI 기능까지 디자인 실무 감각 트레이닝,김혜주,제이펍,2025년 07월,21600,24000,1200,3216,9.9,14
294,148124010,시작하세요! 도커/쿠버네티스,친절한 설명으로 쉽게 이해하는 컨테이너 관리,용찬호,위키북스,2025년 07월,32400,36000,1800,1890,10.0,3
295,146874665,테디노트의 랭체인을 활용한 RAG 비법노트 : 기본편,8단계 RAG 파이프라인으로 LLM 성능을 끌어올리는 RAG 기본부터 실제 챗봇 제작까지,이경록,리코멘드,2025년 05월,30600,34000,1700,4236,10.0,1
296,145572152,디자인 감각 제대로 키우는 법,"아이디어 발상, 레이아웃 요령까지 부족한 감각을 채워주는 모두를 위한 디자인 기본 원칙",가마타 다카시 저/김현미 역,시프트,2025년 05월,17100,19000,950,2340,9.6,10
297,144253147,된다! 업무에 바로 쓰는 구글 활용법,"구글 앱, 이제 AI 시대에 걸맞게 쓰자",이광희,이지스퍼블리싱,2025년 04월,18900,21000,1050,4104,10.0,18
298,142763143,레트로의 유니티 6 게임 프로그래밍 에센스,4가지 게임을 만들면서 배우는 실전 유니티 개발 가이드,이제민,한빛미디어,2025년 02월,59400,66000,3300,4098,9.8,72
299,141787639,밑바닥부터 시작하는 딥러닝 1,파이썬으로 익히는 딥러닝 이론과 구현,사이토 고키 저/개앞맵시 역,한빛미디어,2025년 01월,23400,26000,1300,9006,9.3,138
300,140242586,선생님을 위한 노션,실전기초/수업활용/학생관리/업무관리/업무자동화/노션AI,임세범,앤써북,2025년 01월,19620,21800,1090,10980,9.9,18
301,139798543,누구나 아는 나만 모르는 엑셀,이보다 더 쉬운 엑셀 책은 없습니다,이성원,한빛미디어,2024년 11월,15300,17000,850,6270,9.7,37
302,139734696,혁펜하임의 Easy! 딥러닝,,혁펜하임,북엔드,2024년 11월,31500,35000,1750,3240,9.9,36
303,133873594,아무도 알려 주지 않는 PM 필수 지식,,최선신,영진닷컴,2024년 10월,19800,22000,1100,1230,10.0,21
304,133290567,그림과 실습으로 배우는 깃 & 깃허브 입문,처음부터 제대로 배우는 개발자 필수 도구 Git/GitHub,한재원,위키북스,2024년 09월,24300,27000,1350,792,10.0,5
305,129445293,코파일럿+엑셀 업무자동화 정석,,권현욱,디지털북스,2024년 08월,19800,22000,1100,750,9.0,4
306,128193122,무작정 따라하기 엑셀 파워포인트 워드+한글,기본+회사실무 완벽 대응!,"박미정, 박은진",길벗,2024년 07월,22500,25000,1250,1368,9.1,7
307,128122789,초등부터 중등까지 한 권으로 끝내는 엔트리와 40개의 작품들,동영상 강의보며 혼자 학습 ok! 학교/학원/방과 후 코딩 교재로 ok!,"전진아, 김수연",앤써북,2024년 06월,15930,17700,880,1962,9.8,13
308,126804246,개발자를 위한 필수 수학,기초 수학으로 시작하는 데이터 과학 첫걸음,토머스 닐드 저/박해선 역,한빛미디어,2024년 06월,27000,30000,1500,3552,9.7,37
309,126691841,게임 시나리오 기획자를 위한 안내서,"이론과 실무 그리고 포트폴리오까지, 게임 시나리오의 모든 것",양정윤,에이콘출판사,2024년 05월,23400,26000,1300,1182,10.0,9
